"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"51","Aqua","Barbie Girl",10.53,19.63,58.37,5.58,10,60.42,21.63,0.53,0.53,20.82,41.03,0.53,0.95,4.74,3.42,"2RSOzvKUnfDDrb2nQPfpQU",NA,NA,NA,NA,19,"gems-9"
"52","Milli Vanilli","I'm Gonna Miss You",25.5,14.5,28.75,44.5,48.31,37.56,8.12,7.69,14.31,32.31,22.84,11,0.84,1.56,2.88,"2dThEJP9S344qzNhePcSzj",NA,NA,NA,NA,16,"gems-9"
"53","Dido","Don't Leave Home",32.75,20.33,42.42,38,35.83,19.67,20.42,6.75,30.33,33.87,20.04,18.54,0.64,1.33,3.58,"4N7e9ltiDKb19Swu2CWqMB",NA,NA,NA,NA,12,"gems-9"
"54","Gorillaz","Feel good Inc.",62.92,26.08,17.54,24.85,29.85,48,23.31,7.38,0,32.25,35.65,3.69,0.79,3.08,4.23,"0d28khcov6AiegSCpG5TuT","https://youtube.com/clip/UgkxH7E3iJmQ7z_oAHV9C-z0ntbODARuTc-0","UgkxH7E3iJmQ7z_oAHV9C-z0ntbODARuTc-0","1:21","1:54",13,"gems-45_mx"
"55","Jamiroquai","Virtual Insanity",61.77,11,29.62,18.38,24.85,45,38.08,0,0.92,29.12,41.54,0.46,0.84,2.46,4.15,"2Bxt2qamL6iu0XN0Td484J","https://youtube.com/clip/UgkxgVQ5ux4pXyn83sb16otHzXBiTCpTh2V-","UgkxgVQ5ux4pXyn83sb16otHzXBiTCpTh2V-","0:43","1:13",13,"gems-45_mx"
"56","Jose Gonzales","Heartbeats",50.83,21.08,38.92,52.58,52.08,0,9.17,0,9.33,43.1,4.58,4.67,0.89,2.58,4.33,"11X4Gw3T4hoktVruLgTnm1","https://youtube.com/clip/Ugkx7lMXD9hmHssWqqYZ9DMvrmwWMWV2PRwB","Ugkx7lMXD9hmHssWqqYZ9DMvrmwWMWV2PRwB","0:59","1:26",12,"gems-45_mx"
"57","Aerosmith","I Don't Want To Miss A Thing",39.17,19.75,53.42,47.58,42.08,44.25,31.33,7.42,12.42,40.4,37.79,9.92,0.67,3.58,4.25,"225xvV8r1yKMHErSWivnow","https://youtube.com/clip/UgkxyD8sASPRaSOcUov9UHcKBrJOi3e8ktUQ","UgkxyD8sASPRaSOcUov9UHcKBrJOi3e8ktUQ","0:46","1:23",12,"gems-45_mx"
"58","Sugababes","Push The Button",45,14.73,24.91,12.55,12,57.36,42.45,17.73,6.91,21.84,49.91,12.32,0.69,3.45,3.91,"3EDS89HeAhHiZKlljciK0a","https://youtube.com/clip/Ugkxu8HzYufqmVieUjWOKqkoQqrrFpFbRnh7","Ugkxu8HzYufqmVieUjWOKqkoQqrrFpFbRnh7","0:32","1:16",11,"gems-45_mx"
"59","Boy","Little Numbers",58.17,29.17,17.58,25.5,31.42,54,14,0,3.5,32.37,34,1.75,0.84,1.92,3.75,"34UMrasAWi3VHMWpMePxGu","https://youtube.com/clip/Ugkxay_pPRNk-jT2297d6fkFixYmAiEd8rmG","Ugkxay_pPRNk-jT2297d6fkFixYmAiEd8rmG","0:16","0:46",12,"gems-45_mx"
"60","Neil Diamind","Sweet Caroline",39,23.83,29.33,20.33,6.83,53.92,18.42,0,0,23.87,36.17,0,0.74,4,3.92,"62AuGbAkt8Ox2IrFFb8GKV","https://youtube.com/clip/UgkxjzSMRMlrs2X84JF4whcxtQHzyLmCcxVw","UgkxjzSMRMlrs2X84JF4whcxtQHzyLmCcxVw","0:45","1:19",12,"gems-45_mx"
"61","Elton John","Your Song",30.23,24.06,37.66,23.46,22.06,21.57,25.94,5.66,20.74,27.49,23.76,13.2,0.56,4.29,4.09,"38zsOOcu31XbbYj9BIPUF1","https://youtube.com/clip/UgkxdWGkpjrXKcJkU6bVakI-M3-q0x9VjUwl","UgkxdWGkpjrXKcJkU6bVakI-M3-q0x9VjUwl","0:23","1:10",35,"gems-45_mx"
