"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"11","Cyne","One Day",14.5,9.18,8.25,7.93,18.21,40.54,28.82,9.89,0.82,11.61,34.68,5.36,0.83,1.36,3.29,"46cmIQKXy7Ric5yNZ2tzde",NA,NA,NA,NA,28,"gems-45_mx"
"12","The Pharcyde","Passin' Me By",19.19,6.48,4.74,10.19,13.81,32.22,22.41,26.93,0,10.88,27.31,13.46,0.79,1.56,3.11,"4G3dZN9o3o2X4VKwt4CLts",NA,NA,NA,NA,27,"gems-45_mx"
"13","Gucci Mane","Tone It Down",11.11,10.21,0,7.96,19.43,40.21,29.5,25.46,1.04,9.74,34.86,13.25,0.84,1.57,2.61,"0iTCmKvuU1ReULiQB0rI7n","https://youtube.com/clip/Ugkxf33sURscVNsNOPhtXYIqdKQs0QgGv_hU","Ugkxf33sURscVNsNOPhtXYIqdKQs0QgGv_hU","0:42","1:19",28,"gems-45_mx"
"14","Jay-Z","The Story Of OJ",17.68,13.11,11.04,10.36,29.43,31.5,19.96,20.96,2.96,16.32,25.73,11.96,0.63,1.57,2.54,"6JpN5w95em8SODPiM7W2PH","https://youtube.com/clip/Ugkxwm41Q5LmH_RIy9Az47Y2TT8x2u_nW7f_","Ugkxwm41Q5LmH_RIy9Az47Y2TT8x2u_nW7f_","1:00","1:41",28,"gems-45_mx"
"15","2Pac","All Eyez On Me",14.14,10.43,11.75,15.07,28.64,26.32,20.57,21.18,1.21,16.01,23.45,11.2,0.54,1.93,2.75,"4VQNCzfZ3MdHEwwErNXpBo",NA,NA,NA,NA,28,"gems-45_mx"
"16","K.I.Z.","Ein Affe und ein Pferd",12.13,8.53,3.87,7.2,11.17,35.1,33.57,40.37,0,8.58,34.33,20.18,0.88,2.53,2.43,"3qM75mSV84LHHJqlITqZsk","https://youtube.com/clip/UgkxnE8-rmtVlOk9mjkXNUzj7cbG0RTr0goh","UgkxnE8-rmtVlOk9mjkXNUzj7cbG0RTr0goh","0:00","0:37",30,"gems-45_mx"
"17","LL Cool J","Around The Way Girl",18.77,9.13,12.53,18.23,32.3,42.67,16.37,6.6,1.7,18.19,29.52,4.15,0.84,1.9,3,"4Qxv2L4JICAWLFrBV6QeH8","https://youtube.com/clip/UgkxMbCDRF2FTSOAr1PU6OBHoM-fbiYzsRIR","UgkxMbCDRF2FTSOAr1PU6OBHoM-fbiYzsRIR","2:29","2:59",30,"gems-45_mx"
"18","Coolio","Gangsta's Paradise",31.3,15.97,22.53,2.03,12.17,65.57,51.07,9.47,1.03,16.8,58.32,5.25,0.95,3.97,3.87,"1DIXPcTDzTj8ZMHt3PDt8p",NA,NA,NA,NA,30,"gems-45_mx"
"19","Cardi B","Bodak Yellow",10.97,8.06,1.58,4.29,7.23,47.16,39.23,16.16,0,6.43,43.19,8.08,0.92,3.32,3.13,"6KBYefIoo7KydImq1uUQlL","https://youtube.com/clip/Ugkx48OuhuUKmNoCu9K_To4wgHRXCPr708xs","Ugkx48OuhuUKmNoCu9K_To4wgHRXCPr708xs","0:14","0:50",31,"gems-45_mx"
"20","Killer Mike","A.D.I.D.A.S.",18.44,1.59,6.38,2.25,16.69,37.97,8.47,14.31,2.06,9.07,23.22,8.19,0.86,1.59,2.66,"3ghaPXI1bdNDeYpfCEv1Gw","https://youtube.com/clip/UgkxiSdeQAHTlSYSQp1Dzp5rOMLKzJAF_m_3","UgkxiSdeQAHTlSYSQp1Dzp5rOMLKzJAF_m_3","0:41","1:19",32,"gems-45_mx"
"21","Beginner","F�chse",18.65,14.55,7.52,2.84,28.48,43.52,17.06,9.84,4.55,14.41,30.29,7.19,0.86,1.71,3.13,"4vxjNphyAqPGR8KpuXPGoi","https://youtube.com/clip/Ugkxg4DpwMmd0f6ft1dcr1UHjkgDVWqbUmQM","Ugkxg4DpwMmd0f6ft1dcr1UHjkgDVWqbUmQM","0:37","1:13",31,"gems-45_mx"
"22","Scroobius Pip","Let 'Em Come",8.04,13.96,1.44,3.19,2.78,18.19,26.11,46.37,0,5.88,22.15,23.19,0.9,1.33,2.19,"5iDkCenF5yMkweYTzvnxc0","https://youtube.com/clip/UgkxNA0TGyZvRFpL5HfNxf5jL-Aos0_TMrjq","UgkxNA0TGyZvRFpL5HfNxf5jL-Aos0_TMrjq","0:18","1:11",27,"gems-45_mx"
"23","SIDO","Fuffies Im Club",7.07,15.85,1.37,3.37,6.52,28.19,12.26,31.04,1.48,6.84,20.22,16.26,0.82,1.52,2.3,"1A0b0yR0quuBByKQzASAvf","https://youtube.com/clip/UgkxiDWo6SHEUI4jBlKNkh5hXdY_TZh5n84U","UgkxiDWo6SHEUI4jBlKNkh5hXdY_TZh5n84U","0:54","1:35",27,"gems-45_mx"
"24","Chance The Rapper","Summer Friends",2.26,6.93,6.26,8.52,18.19,24.59,4.67,18.3,0,8.43,14.63,9.15,0.73,1.3,2.33,"2fl0B0OaXjWbjHCQFx2O8W","https://youtube.com/clip/Ugkx3xlTENI-JXgKuo3V07OjMtslbm5vFWD5","Ugkx3xlTENI-JXgKuo3V07OjMtslbm5vFWD5","0:56","1:34",27,"gems-45_mx"
"25","Twentyone Pilots","Lane Boy",18,13.17,2.45,1.07,11.79,26.62,33.17,7.38,3.52,9.3,29.9,5.45,0.84,1.9,2.97,"2P61EK6DMGyVyssLWS4fKy","https://youtube.com/clip/Ugkx6eec1x4NPyH_99Itv46s6pLeG_41gm9x","Ugkx6eec1x4NPyH_99Itv46s6pLeG_41gm9x","0:26","1:08",29,"gems-45_mx"
"26","BBou","Kanona",12.93,5.45,3.28,9.21,4.17,14.93,14.55,17.14,2.48,7.01,14.74,9.81,0.46,1.55,2.21,NA,"https://youtube.com/clip/Ugkx_GQpNV2nvUVSHHAdncjVQHIqQ_7MUNwf","Ugkx_GQpNV2nvUVSHHAdncjVQHIqQ_7MUNwf","0:22","1:11",29,"gems-45_mx"
"27","The Roots","You Got Me",21.93,10.31,26,21.34,21.9,8.72,11.14,9.21,15.21,20.3,9.93,12.21,0.45,2.31,3.1,"4pdLZsxq0y5oJDb6Cxlokw","https://youtube.com/clip/Ugkxu01TdXlyzUBaA1uxYlVxUTn3Z0cXaUh5","Ugkxu01TdXlyzUBaA1uxYlVxUTn3Z0cXaUh5","0:16","0:57",29,"gems-45_mx"
"28","Kanye West","Touch The Sky",16.43,9.75,17.32,10,17.14,46.86,22.43,7.04,0.79,14.13,34.64,3.91,0.83,2.96,3.25,"2dxjKgT0li4qBI3QwuN9Ih","https://youtube.com/clip/UgkxECNPyiKIoYY4_1W_zNYoxmgktMke-Sze","UgkxECNPyiKIoYY4_1W_zNYoxmgktMke-Sze","0:55","1:37",28,"gems-45_mx"
"29","Pharoahe Monch","Let's Go",7.21,12.93,3.57,0,14.11,26.43,20.46,14.54,0,7.56,23.45,7.27,0.71,1.46,2.39,"67c29TckQ1LtejsU6USqvG","https://youtube.com/clip/Ugkx_7x4uFOt1eXD_KeuDY4hwqVAbulrtRUg","Ugkx_7x4uFOt1eXD_KeuDY4hwqVAbulrtRUg","0:19","0:54",28,"gems-45_mx"
"30","Eminem","Mockingbird",25.11,9.54,34.32,14.39,12.46,13.18,9.71,17.54,38.64,19.16,11.45,28.09,0.7,3.29,3.36,"561jH07mF1jHuk7KlaeF0s","https://youtube.com/clip/Ugkxgie5MI-cRMFrgZHXb5x44t3tkLgpM5CJ","Ugkxgie5MI-cRMFrgZHXb5x44t3tkLgpM5CJ","1:10","1:48",28,"gems-45_mx"
"31","Eminem","Rap God",30.81,25.07,14.52,9.56,8.26,39.48,34.52,28.41,3.7,17.64,37,16.06,0.75,3.33,3.26,"6or1bKJiZ06IlK0vFvY75k","https://youtube.com/clip/UgkxrDhQWgXdqNyuTc7tw5ecNLbYAppxo_jj","UgkxrDhQWgXdqNyuTc7tw5ecNLbYAppxo_jj","4:10","5:05",27,"gems-45_mx"
"32","Freundeskreis","A-N-N-A",6.04,11.26,18.85,21.15,29.78,6.22,0,13.26,12.48,17.41,3.11,12.87,0.66,1.85,2.48,"6EWtkdeKmVtRjmydTfIR0S","https://youtube.com/clip/UgkxMgl6-aZs6hkIbjgGKbpferte9SbBUBnx","UgkxMgl6-aZs6hkIbjgGKbpferte9SbBUBnx","0:59","1:40",27,"gems-45_mx"
"33","Eminem","Lose Yourself",29.7,17,26,12.96,16.63,50.96,36.85,15.56,3.7,20.46,43.91,9.63,0.81,4.04,3.78,"7MJQ9Nfxzh8LPZ9e9u68Fq","https://youtube.com/clip/UgkxpFGqBJ32ORfzd4DhgSOtxi95nKPJclM2","UgkxpFGqBJ32ORfzd4DhgSOtxi95nKPJclM2","1:01","1:47",27,"gems-45_mx"
"34","Travis Scott","Antidote",12.23,11.42,7.84,4.1,11.16,43.58,23.74,19.23,1.16,9.35,33.66,10.19,0.85,2.42,2.9,"1wHZx0LgzFHyeIZkUydNXq","https://youtube.com/clip/UgkxH_KgkMKJXtZ87XO7APEaNnSMxNi5L-3n","UgkxH_KgkMKJXtZ87XO7APEaNnSMxNi5L-3n","0:27","1:11",31,"gems-45_mx"
"35","Kendrick Lamar","Cartoons & Cereal",13.45,17.61,5.16,0,4.68,31.48,17.16,34.81,4.52,8.18,24.32,19.66,0.84,1.65,2.45,NA,"https://youtube.com/clip/UgkxABWx8IMDZ1ygX9cK_u6KoTxrBq3P8ySu","UgkxABWx8IMDZ1ygX9cK_u6KoTxrBq3P8ySu","0:37","1:28",31,"gems-45_mx"
"36","Kanye West","Runaway",13.97,2.81,10.55,11.42,13.84,28.61,6.58,23.26,7.74,10.52,17.6,15.5,0.62,1.84,2.58,"3DK6m7It6Pw857FcQftMds","https://youtube.com/clip/UgkxvrHQRM-a4RVDO6Hq0k09yxHmzCm20VwZ","UgkxvrHQRM-a4RVDO6Hq0k09yxHmzCm20VwZ","1:44","2:24",31,"gems-45_mx"
"37","Jay-Z","99 Problems",8.75,8.11,5.77,1.3,14.09,43.52,38.34,18.32,0,7.6,40.93,9.16,0.94,2.52,2.77,"7IdFdRlCjUi6kkhbPoRfnw","https://youtube.com/clip/Ugkx57VaIZOdBBg6E3ZPJxd9Ej8E7jqqCyqQ","Ugkx57VaIZOdBBg6E3ZPJxd9Ej8E7jqqCyqQ","1:59","2:41",44,"gems-45_mx"
"38","50 Cent","In Da Club",15.37,7.16,15.12,5.51,16.7,56.44,25.81,12.16,0,11.97,41.13,6.08,0.94,3.81,3.44,"7iL6o9tox1zgHpKUfh9vuC","https://youtube.com/clip/UgkxPTUGD757NZE04L5T2DQ0oFPpRTI64qKI","UgkxPTUGD757NZE04L5T2DQ0oFPpRTI64qKI","0:40","1:18",43,"gems-45_mx"
"39","Akua Naru","Poetry: How Does It Feel",20.12,14.3,17.67,29.84,42.19,8.93,5.86,10.58,2.19,24.82,7.4,6.38,0.9,1.35,2.88,"0SQg86odv33piyPWPgNpBM","https://youtube.com/clip/UgkxaI7IEJFGmNuo3apwunshxwOL6L0qkv-L","UgkxaI7IEJFGmNuo3apwunshxwOL6L0qkv-L","0:59","1:34",43,"gems-45_mx"
