"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"40","Owl City","Lucid Dream",28.33,24.33,27,17.56,45.11,28.89,15.44,2.22,4.78,28.47,22.17,3.5,0.74,1.89,3.33,"4icP6VWlKBLIHzl0bBD4xw",NA,NA,NA,NA,9,"gems-9"
"41","Massive Attack","Mezzanine",13.07,28.86,18.14,6.36,17.07,13.64,22,41.14,17.21,16.7,17.82,29.18,0.53,1.79,2.57,"67Hna13dNDkZvBpTXRIaOJ",NA,NA,NA,NA,14,"gems-9"
"42","Skrillex","First of the Year (Equinox)",2.5,11.58,12.17,0.67,1,8.58,19.92,44.67,5,5.58,14.25,24.83,0.86,1,1.5,"5i7fZq3chLyCHo3VeB6goD",NA,NA,NA,NA,12,"gems-9"
"43","Karma Fields","Build The Cities (feat. Kerli)",6.3,13.5,1.6,0.4,5.7,28.9,40.4,28.7,0.3,5.5,34.65,14.5,0.76,1.1,3,"50fO3coGeBVITFxiYlHSDs",NA,NA,NA,NA,10,"gems-9"
"44","Lasgo","Something",15.64,28.07,18.64,5.64,4.86,59.86,51.21,17.79,0,14.57,55.54,8.89,0.94,1.43,2.86,"3e9L9HiHKcfYLAga28Vmcf",NA,NA,NA,NA,14,"gems-9"
"45","The Knife","Heartbeats",16.62,14,11.71,14.43,8.81,21.62,18.9,18.38,12.95,13.11,20.26,15.67,-0.05,1.43,2.29,"2YacpExEbX9tF8IbFlFOo4",NA,NA,NA,NA,21,"gems-9"
"46","T�l�popmusik","Genetic World",12.3,15.4,8.8,2.7,17.2,10.4,10.4,11.7,4.1,11.28,10.4,7.9,0.1,1.2,2,"0uKrhHBDUQ4w5fv4qwOubP",NA,NA,NA,NA,10,"gems-9"
"47","Zendaya","Only When You're Close",9.94,12.72,12.28,7.28,8.11,6.33,16.61,23.22,16.89,10.07,11.47,20.06,0.46,1.11,1.61,"7BhxxlLcCCfvixzy8KExZv",NA,NA,NA,NA,18,"gems-9"
"48","Armin van Buuren","Not Giving Up On Love",16.33,22.75,12.42,6.33,15.25,39.42,30.83,22.42,4.67,14.62,35.12,13.54,0.74,1.33,2.58,"1frLUl7UjAs0eLL2FzJgmA",NA,NA,NA,NA,12,"gems-9"
"49","Onuka","Vsesvit",17.56,12.22,4.22,11,17,28.22,24.67,4.33,11.33,12.4,26.44,7.83,0.38,1.22,2.67,"0ROyrrMf9crvLUImY1SoG6",NA,NA,NA,NA,9,"gems-9"
"50","Daddy Was A Milkman","Breathe In",19.56,10.22,16.11,29.61,52.56,10.17,1.83,5.22,10.5,25.61,6,7.86,0.92,1.28,3,"0JD76XBC2uL6A5ZHTKIKHF",NA,NA,NA,NA,18,"gems-9"
"51","Gorillaz","Tomorrow Comes Today",26.43,25.86,27.21,12.21,24.71,24.57,17.79,6.21,22.64,23.29,21.18,14.43,0.33,1.43,2.79,"3qdDjz9kOvquEFbvXBYOMQ",NA,NA,NA,NA,14,"gems-9"
"52","Hot Chip","So Glad to See You",11.1,9.5,16.5,24.4,20.1,14.4,7.1,11.5,5.9,16.32,10.75,8.7,-0.12,1.4,2.1,"0PCYXSyESysJ1Eodxjyn9p",NA,NA,NA,NA,10,"gems-9"
"53","Leftfield","Release the Pressure",18.71,10.36,12.93,15.64,24.93,31.64,21.07,9.36,9.43,16.51,26.36,9.39,0.45,1.43,3.07,"6SpP5cpf4dY8AFFtXEfqmA",NA,NA,NA,NA,14,"gems-9"
"54","Modestep","Sunlight",2.69,9.88,4,1.38,4.44,13.75,18.62,39.44,4.31,4.47,16.19,21.88,0.88,1,1.69,"0Ix7doBgImhoWJfDnwezP1",NA,NA,NA,NA,17,"gems-9"
"55","Santigold","You'll Find A Way",31.67,20.92,12.67,5.25,9.92,53,49.58,28.5,3.75,16.08,51.29,16.12,0.85,1.17,2.92,"1ZUj6t3goYbtWrCKFnwzIf",NA,NA,NA,NA,12,"gems-9"
"56","Armin van Buuren","This Is What It Feels Like",18.86,17.93,20.36,16.14,8.79,29.86,22.43,7.64,11.5,16.41,26.14,9.57,0.52,1.43,2.86,"5GjnIpUlLGEIYk052ISOw9",NA,NA,NA,NA,15,"gems-9"
"57","Katy B","Katy on a Mission",10.39,7.83,3.06,2,2.5,10.06,23.5,15.56,1.94,5.16,16.78,8.75,0.57,1.56,2.17,"47uhrF6IvyE2eUyyfLAEzf",NA,NA,NA,NA,19,"gems-9"
