"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"74","Nara Le�o","Acender As Velas",16,17.39,28.61,24.17,30.65,21.39,5.65,6.35,9.3,23.37,13.52,7.83,0.79,1.22,2.65,"51WPyWMsRCsQL1rLd0D6EO",NA,NA,NA,NA,23,"gems-9"
"75","Count Basie","Shiny Stockings",15.8,14.2,35.27,16.2,53.8,22.53,1.6,5,2.13,27.05,12.07,3.57,0.92,1.53,3.6,"5JZoHrIGklz4iUlUNjMBcs",NA,NA,NA,NA,15,"gems-9"
"76","Chico Buarque","Constru��o",9.14,13.81,12.24,3.67,8.95,9.19,11.38,29.76,10.95,9.56,10.29,20.36,0.64,1,1.81,"3FIuBxOxuQ6kYy8JO0gq2a",NA,NA,NA,NA,20,"gems-9"
"77","Stan Getz","S� Dan�o Samba",23.21,12.07,24.36,8.64,28.36,32.93,19.5,11.21,1.43,19.33,26.21,6.32,0.7,1.29,2.71,"5je0CDv1Z1hT82Nek1Fjhl",NA,NA,NA,NA,14,"gems-9"
"78","Amy Winehouse","Know You Now",14.84,13.16,23.11,11.53,15.74,18.37,16.84,13.63,23.79,15.67,17.61,18.71,-0.04,1.21,2.47,"0UVTzpqtuQpuZCd7ZeZeTj",NA,NA,NA,NA,20,"gems-9"
"79","Beck","Tropicalia",19.62,15.31,26.85,18.92,11.69,27,15.46,8.69,2.69,18.48,21.23,5.69,0.63,1.54,2.92,"6rx6Ew1sday1KvsnD4HNdI",NA,NA,NA,NA,13,"gems-9"
"80","Eliane Elias","Call Me",20.5,15.14,30.29,37.79,44,13.5,5.86,3,11.64,29.54,9.68,7.32,0.88,1.36,2.21,"5iRxI8g8AxrQe6EpKYMtdN",NA,NA,NA,NA,14,"gems-9"
"81","Tok Tok Tok","Walk on the Wild Side",33,27.94,36.75,28,53.88,43.44,24.75,8.19,5.06,35.91,34.09,6.62,0.87,2.12,3.62,"78G0LEqrs8HmEwhb75nYXQ",NA,NA,NA,NA,16,"gems-9"
"82","Incognito","Still A Friend Of Mine",15.85,16.62,16.77,23,19.38,24.23,14.31,10.54,5.08,18.32,19.27,7.81,0.3,1.08,2.15,"5B23BmNt1R61I7b8iuB4jg",NA,NA,NA,NA,13,"gems-9"
"83","Basia","Drunk on Love",15.5,7.36,18.64,9.36,13.36,28.14,21.77,8.09,3.14,12.85,24.95,5.61,0.75,1.18,2.05,"2oFMQdhYZUVd63DKRgJNVV",NA,NA,NA,NA,22,"gems-9"
"84","Astrud Gilberto","Agua De Beber",7.46,4.46,22.92,17.15,38,21.08,2.31,1.77,8.23,18,11.69,5,0.83,1.85,2.85,"3QKJELWORZZ7rUZDWeMWSA",NA,NA,NA,NA,13,"gems-9"
"85","Roberta S�","Fogo E Gasolina",12.83,2.58,9.38,6.17,8.58,40.04,16,6.04,1.12,7.91,28.02,3.58,0.91,1.04,2.42,"3z29d3vubYNEBeuuo2e8vE",NA,NA,NA,NA,24,"gems-9"
"86","Nat King Cole","Aquellos Ojos Verdes",15.23,12.31,24.92,39.85,46.46,11,4.92,1.15,4.15,27.75,7.96,2.65,0.88,1.46,3.08,"35uu4l4jYnCLMh88URXqoX",NA,NA,NA,NA,12,"gems-9"
"87","Diana Krall","The Look Of Love",27.93,11.64,38.71,39.64,46.5,15.71,4.21,1.57,11.36,32.89,9.96,6.46,0.89,1.57,2.57,"3CDHydgW0ssTh59f0jy1y3",NA,NA,NA,NA,14,"gems-9"
"88","Ella Fitzgerald & Louis Armstrong","Cheek to Cheek",23.62,9.94,37.69,35.38,35.38,28.62,15.12,7.62,6.44,28.4,21.88,7.03,0.81,1.69,2.88,"33jt3kYWjQzqn3xyYQ5ZEh",NA,NA,NA,NA,16,"gems-9"
"89","Renee Olstead","A Love That Will Last",26.06,16.53,43.65,52.53,54.65,16.76,3.94,1.18,10.18,38.68,10.35,5.68,0.94,1.12,3.47,"4bJbSERtCqK9D6DRUPMmMh",NA,NA,NA,NA,16,"gems-9"
"90","Elis Regina","Canto De Ossanha",8.45,5.35,20.35,15.8,19.45,19.55,11.45,10.2,6.65,13.88,15.5,8.43,0.51,1.05,2,"7hli27iuIkMtJJMcLYou25",NA,NA,NA,NA,22,"gems-9"
