,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,genre
95,96,Flunk,Six Seven Times,22.89,20.56,28.11,21.67,36.0,14.28,14.94,5.89,26.17,2jknEB3TLUX5vEaLI4gttE,electronic
96,97,Candlemass,Solitude,14.22,25.0,6.11,2.28,7.39,14.22,47.17,43.06,17.44,0v3WyEt2g04WFpfVwcnfXm,rock
97,98,The Format,I'm Actual,22.18,19.41,31.88,24.76,13.88,19.88,26.71,11.35,20.18,2eHZ6UoAycNv99qKz4PVPg,pop
98,99,Teena Marie,Revolution,5.58,17.0,18.75,6.08,12.83,29.5,17.92,6.67,7.75,7re1yRjy442DIAIVUgCaBN,funk_soul
99,100,Ashlee Simpson,Beautifully Broken,18.92,11.69,19.08,20.15,11.23,23.54,18.31,4.23,21.46,0Z5TwodaWvDGq43AVdnKzn,pop
100,101,Al Jarreau,Ain't No Sunshine,21.31,13.31,47.31,31.77,27.15,32.92,23.69,11.69,18.31,0Res4ooR61zc5T7m2Fswog,jazz
101,102,Lana Del Rey,Born to Die,21.05,9.05,38.79,26.21,28.58,4.21,9.0,7.63,35.74,487OPlneJNni3NWC8SYqhW,pop
102,103,Ambrosia,You're the Only Woman,14.35,8.96,35.31,31.15,21.12,27.35,17.5,2.73,10.62,11qmuUlW5q5diLiVSOlsSF,jazz
103,104,Justin Timberlake,Cry Me a River,16.26,8.79,46.42,15.42,21.0,31.47,19.53,14.89,19.11,7Lf7oSEVdzZqTA0kEDSlS5,pop
104,105,Michael Bublé,Feeling Good,13.92,10.0,33.0,21.92,24.92,15.58,13.33,12.75,5.33,3I09LQbHS3NSU46Ly3tPpR,jazz
105,106,Diana Ross,Upside Down,23.71,18.53,33.65,31.59,24.29,55.41,32.41,2.65,1.65,3pbtBomO4Zt5gGiqsYeiBH,funk_soul
106,107,Marianas Trench,Good To You,10.16,4.32,14.37,19.95,7.32,24.79,42.26,10.95,13.58,3eDBBDWXkmH6chzPZhuajx,rock
107,108,Prince & The Revolution,Purple Rain,28.21,31.5,46.86,15.71,15.71,9.79,28.36,7.64,14.93,54X78diSLoUDI3joC2bjMz,rock
108,109,Lily Allen,Air Balloon,18.37,16.95,14.0,23.84,18.05,46.63,21.37,6.0,0.26,1DIS8YXZKxePLmY7Z8UC4I,pop
109,110,Louis Armstrong,What a Wonderful World,41.0,25.29,53.43,54.14,52.64,42.57,17.64,3.14,11.79,29U7stRjqHU6rMiS8BfaI9,jazz
110,111,Madonna,Gang Bang,17.94,22.69,10.25,5.56,9.06,29.94,40.06,25.31,6.06,5IYWdpFJAeKLggc7B8xtJm,electronic
111,112,Electric Wizard,The Chosen Few,14.53,19.47,14.67,9.6,9.8,13.67,28.33,27.0,15.0,5qN4DbKNNuIIe7xSlJPco0,rock
112,113,Donna Summer,Autumn Changes,6.6,5.73,13.2,20.73,11.93,31.93,19.0,8.13,11.6,4LldsyhaiUL5tcP5uxDBkx,funk_soul
113,114,blink-182,The Girl Next Door,10.9,9.0,6.8,6.5,3.9,15.3,20.2,28.0,7.7,2YmvU7tSabJfECLUutSXJ1,rock
114,115,Village People,Go West,13.24,6.1,48.19,11.33,8.81,53.48,37.95,10.76,5.0,5v67uga7IFT3FQhDDBgaY8,funk_soul
115,116,Melanie C,"Yeh, Yeh, Yeh",11.19,5.0,16.38,6.19,10.69,46.62,38.0,16.19,1.94,5gEkWBFaVUjzY7Y3sw35UU,pop
116,117,Norah Jones,Humble Me,32.54,29.38,42.08,53.69,56.0,5.85,13.0,4.69,57.46,7BboupyTdAr1nmMJZw0V4h,jazz
117,118,Paradise Lost,Gone,16.58,11.5,28.0,10.0,24.42,11.83,23.33,11.58,32.58,7C05KE8DAyWoM4yoEOaq6m,rock
118,119,Morcheeba,Rome Wasn't Built in a Day,25.64,16.64,33.55,50.55,35.45,30.27,20.09,13.27,9.45,6lsumzVFKP9SnfKcuGwqVp,pop
119,120,Hozier,Take Me to Church,34.45,32.64,40.55,28.82,31.82,25.45,43.55,16.64,29.73,1CS7Sd1u5tWkstBhpssyjP,funk_soul
120,121,Chico Buarque,Sonho De Um Carnaval,14.46,10.15,19.23,18.46,37.69,18.69,4.62,5.69,7.77,6VlapIlYfqtoiWsE0DZUsE,jazz
121,122,Kendrick Lamar,King Kunta,6.4,10.0,14.4,0.47,3.8,31.87,39.47,23.6,3.2,0N3W5peJUQtI4eyR6GJT5O,funk_soul
122,123,Owl City,Fireflies,25.94,29.38,45.56,25.88,27.81,38.0,21.81,11.38,8.12,3DamFFqW32WihKkTVlwTYQ,pop
123,124,Neurosis,Fear and Sickness,13.19,15.5,6.81,1.94,1.44,7.0,49.06,71.81,5.81,2sXYiWVdddj45DruzNKJGC,rock
124,125,The Temptations,My Girl,17.17,8.56,51.22,39.22,30.33,41.72,20.17,6.56,8.39,745H5CctFr12Mo7cqa1BMH,funk_soul
125,126,Descendents,Silly Girl,6.39,8.87,10.26,8.74,2.0,22.39,31.43,21.39,3.0,1o0cObpbURSTFEoXSgmL6a,rock
126,127,Michael Learns to Rock,Paint My Love,20.55,9.65,37.1,41.35,37.0,18.6,5.35,4.0,17.3,523iOSL6R2OomhVMGcfxdy,pop
127,128,A*Teens,Rockin',12.15,5.0,16.85,11.4,15.5,35.4,14.75,7.35,0.2,66Ic3dIvBMBV7Oc4PUjw5w,pop
128,129,Mark Ronson,Uptown Funk,11.0,17.0,26.47,18.0,7.47,61.47,51.27,8.53,0.27,32OlwWuMpZ6b0aN2RZOeMS,funk_soul
129,130,Apparat,Black Water,18.88,22.76,19.47,16.0,18.88,9.0,17.12,13.24,26.24,3mFu6HJLVeyyUyTS1EkHFP,electronic
130,131,Sarah Vaughan,He's My Guy,17.75,15.42,26.33,28.08,47.33,33.0,27.67,7.08,1.58,5Po3D0fxlUpQTciXYWOmnJ,jazz
131,132,Pinball,Come Into My Dream,21.31,10.46,9.77,13.23,9.31,31.15,24.15,19.54,2.92,2JPFEnjLROchH7qqoRy9Vl,electronic
132,133,Heidi Montag,Love It or Leave It,11.9,13.1,10.5,3.7,13.2,24.8,17.9,21.0,0.8,25pVbxHtM3TdDA6hHwvLfW,pop
133,134,The Bug,Poison Dart,9.47,8.47,9.2,9.07,9.73,17.33,14.2,44.47,3.4,7k9XruEHhkEH1I2epEHERo,electronic
134,135,Hey Monday,Set Off,2.79,17.14,14.5,13.93,6.07,42.57,36.79,15.79,2.5,0D5q7zxMaeQ9ekjuTQiryo,rock
135,136,Above & Beyond,Alchemy,18.35,31.71,7.18,14.47,17.82,21.41,25.47,14.76,9.24,0Xm3H8qUhiUALrZYJyf61f,electronic
136,137,WJSN,HURRY UP,8.5,10.25,9.88,3.25,6.5,57.88,28.62,10.81,1.12,1lAuz7VJzbhhYHTQ11JE12,jazz
137,138,Anathema,Judgement,13.64,11.43,16.71,3.57,6.0,22.93,55.5,43.21,9.79,0jQxDAN0CBuIdAqbR4OnzV,rock
138,139,Belleruche,Anything You Want (Not That),13.83,12.25,15.92,14.25,18.17,24.08,10.0,8.33,2.83,41fe96o3cxCfvINxcxEe4R,funk_soul
139,140,Lasgo,Alone,1.43,8.64,7.71,5.5,1.71,30.71,26.57,18.71,4.71,6hVdYM1RKjPIYv17KJ6Cll,electronic
