"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"46","Solitude Aeturnus","Seeds of the Desolate",2.06,11.12,8.65,1.12,0.29,7.29,19.41,61.06,6.12,4.65,13.35,33.59,0.93,1,1.29,"7emF3lKU8NmkrlmDXUTYER",NA,NA,NA,NA,17,"gems-9"
"47","Chunk! No, Captain Chunk!","So Close and Yet So Far",13.64,5.71,27.79,7.79,10.07,51.71,49.86,19.21,9.5,13,50.79,14.36,0.86,1.5,3.43,"4nYV0FQkrOXzruL4xFlKmL",NA,NA,NA,NA,14,"gems-9"
"48","Sarah McLachlan","Elsewhere",22.35,12.47,31.12,33.41,37.12,7,4.59,6.47,39.47,27.29,5.79,22.97,0.87,1.24,2.65,"1hBi66N1p1QyvFTHjnH2jv",NA,NA,NA,NA,17,"gems-9"
"49","My Dying Bride","For My Fallen Angel",45.38,25.67,26.14,33.67,44.86,5.52,17.52,8.71,46.76,35.14,11.52,27.74,0.87,1.38,3.67,"5oVSFQUi1hBYYRiNeOwfWy",NA,NA,NA,NA,21,"gems-9"
"50","Lake of Tears","So Fell Autumn Rain",9.77,10.8,15.83,2.37,3.37,11.93,28.57,13.73,12.87,8.43,20.25,13.3,0.78,1.07,2.17,"2sXOtMnG1wfnNsNUQ6oDPR",NA,NA,NA,NA,30,"gems-9"
"51","Dire Straits","So Far Away",30.4,24.7,45.8,27.7,29.1,22,16.1,6.2,24.9,31.54,19.05,15.55,0.57,1.8,2.8,"3pGBIgFdfdnjtHDJR4nbrR",NA,NA,NA,NA,10,"gems-9"
"52","Hamilton, Joe Frank & Reynolds","Don't Pull Your Love",11.8,11.6,16.47,30.87,28.8,28.07,15.27,10.07,2.4,19.91,21.67,6.23,0.77,1.4,2.6,"7tJsTykoo4Jk5JguHTx9W7",NA,NA,NA,NA,15,"gems-9"
"53","Chris Rea","And you my love",8.2,4.1,19.25,31.8,24.35,12.5,7.15,7.9,16.95,17.54,9.82,12.43,0.78,1.45,2.7,"7iJmWC3h8tJOCK4OzPFZ2c",NA,NA,NA,NA,20,"gems-9"
"54","Chris de Burgh","The Lady in Red",31.65,22.71,41.82,52,33.53,15.18,8.59,5.06,35.29,36.34,11.88,20.18,0.87,2.94,3.41,"1GeNWyZtCHbcp3ZWp8GTOO",NA,NA,NA,NA,17,"gems-9"
"55","Coldplay","Animals",10.58,8.83,29.92,14.42,18.42,0.58,8.17,26.08,28.58,16.43,4.38,27.33,0.52,1.25,2.08,"59tjfzA98dum1TXhJ4XWoe",NA,NA,NA,NA,12,"gems-9"
"56","Chris Rea","Fool (If You Think It's Over)",11.45,13.85,37.1,28.65,45.95,31.95,5.5,5.25,13.95,27.4,18.73,9.6,0.88,2.35,3.1,"0UHiH4dy1hXULYl8CgNxRV",NA,NA,NA,NA,20,"gems-9"
"57","Electric Wizard","Vinum Sabbathi",4.54,6.08,6,1.73,2.88,8.65,36.38,41.92,5.42,4.25,22.52,23.67,0.96,1,1.92,"3d1uPNDeeceYhoNNo4pnv8",NA,NA,NA,NA,26,"gems-9"
"58","High on Fire","Rumors of War",11.69,5.31,13.46,0.15,0.15,13.69,37.08,66.92,4.85,6.15,25.38,35.88,0.91,1.38,1.77,"33XdEVFV3YFrKQ0y99t6Sf",NA,NA,NA,NA,14,"gems-9"
"59","B.J. Thomas","Rock And Roll Lullaby",14.5,10.56,35.25,28.38,36.5,17.94,2,0.62,12.44,25.04,9.97,6.53,0.87,1.5,3.06,"3aVNV6pawEERvfdurW66ZT",NA,NA,NA,NA,16,"gems-9"
"60","Ed Sheeran","Happier",23.29,15.14,39.29,30.71,25.21,5,7,10.29,43.57,26.73,6,26.93,0.75,3.29,3.14,"2RttW7RAu5nOAfq6YFvApB",NA,NA,NA,NA,13,"gems-9"
