"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"57","Cissy Houston","Think It Over",20.27,21.64,21.45,11.45,11.64,47.45,40.73,18,7.45,17.29,44.09,12.73,0.77,1.09,3,"09HKieZL31JLWTb2s5tm6I",NA,NA,NA,NA,11,"gems-9"
"58","Oliver Cheatham","Get Down Saturday Night",20,13.79,14.21,6.68,8.05,52.74,30.32,16.68,2.53,12.55,41.53,9.61,0.93,1.26,3,"0IZVSGXU9oBi6mbsWyLas6",NA,NA,NA,NA,18,"gems-9"
"59","Kelis","Rolling Through the Hood",5,6.36,17.73,15.45,22.91,17.55,20.36,3.91,8,13.49,18.95,5.95,0.44,1.18,2.09,"7bjpWKh3teUpsNgdpcq7eb",NA,NA,NA,NA,11,"gems-9"
"60","OutKast","Hey Ya!",8.38,4.75,32.12,1.12,9,53.88,40,3.62,1.12,11.07,46.94,2.38,0.86,4,3.62,"2PpruBYCo4H7WOBJ7Q2EwM",NA,NA,NA,NA,8,"gems-9"
"61","Bobby Womack","Woman's Gotta Have It",13.36,12.64,29.91,23.09,18.09,24.73,13.91,0,4.45,19.42,19.32,2.23,0.62,1.09,2.73,"20HCbY9qPpi1H2pP2MRUWy",NA,NA,NA,NA,13,"gems-9"
"62","En Vogue","Beat of Love",14,8.44,6.44,18.44,19.33,7,5.22,27,3.22,13.33,6.11,15.11,0.35,1.22,1.89,"2CHSYLRP4AQgyKV17Qc9QO",NA,NA,NA,NA,9,"gems-9"
"63","Daft Punk","Give Life Back to Music",12.27,7.33,15.73,0.67,16.47,49.07,24.67,7.53,0.87,10.49,36.87,4.2,0.87,1.53,3.13,"0dEIca2nhcxDUV8C5QkPYb",NA,NA,NA,NA,15,"gems-9"
"64","Tim Maia","Pecado Capital",19.36,8,20.18,9.82,9.82,33.91,21.09,7,2.73,13.44,27.5,4.86,0.74,1,2.55,"55g9c7lad0VCcg1PEdJaHl",NA,NA,NA,NA,11,"gems-9"
"65","Beverley Knight","Hurricane Jane",24.78,21.22,45.78,35.89,40,24.22,24.67,0.67,2.67,33.53,24.44,1.67,0.62,1.44,3.33,"4zcSLDrG6E0GkysBuh2fD3",NA,NA,NA,NA,9,"gems-9"
"66","Sly & The Family Stone","Everyday People",20,11.89,47.78,31.67,34.33,49.22,32.78,14.56,7.89,29.13,41,11.22,0.79,2.33,3.22,"7lL2lMWNtzOcf5HnEudNgn",NA,NA,NA,NA,11,"gems-9"
