"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Spotify ID"
"181","The Pharcyde","Passin' Me By",19.19,6.48,4.74,10.19,13.81,32.22,22.41,26.93,0,"4G3dZN9o3o2X4VKwt4CLts"
"182","Gucci Mane","Tone It Down",11.11,10.21,0,7.96,19.43,40.21,29.5,25.46,1.04,"0iTCmKvuU1ReULiQB0rI7n"
"183","Jay-Z","The Story Of OJ",17.68,13.11,11.04,10.36,29.43,31.5,19.96,20.96,2.96,"6JpN5w95em8SODPiM7W2PH"
"184","2Pac","All Eyez On Me",14.14,10.43,11.75,15.07,28.64,26.32,20.57,21.18,1.21,"4VQNCzfZ3MdHEwwErNXpBo"
"185","K.I.Z.","Ein Affe und ein Pferd",12.13,8.53,3.87,7.2,11.17,35.1,33.57,40.37,0,"3qM75mSV84LHHJqlITqZsk"
"186","LL Cool J","Around The Way Girl",18.77,9.13,12.53,18.23,32.3,42.67,16.37,6.6,1.7,"4Qxv2L4JICAWLFrBV6QeH8"
"187","Coolio","Gangsta's Paradise",31.3,15.97,22.53,2.03,12.17,65.57,51.07,9.47,1.03,"1DIXPcTDzTj8ZMHt3PDt8p"
"188","Cardi B","Bodak Yellow",10.97,8.06,1.58,4.29,7.23,47.16,39.23,16.16,0,"6KBYefIoo7KydImq1uUQlL"
"189","Killer Mike","A.D.I.D.A.S.",18.44,1.59,6.38,2.25,16.69,37.97,8.47,14.31,2.06,"3ghaPXI1bdNDeYpfCEv1Gw"
"190","Beginner","Füchse",18.65,14.55,7.52,2.84,28.48,43.52,17.06,9.84,4.55,"4vxjNphyAqPGR8KpuXPGoi"
"191","Scroobius Pip","Let 'Em Come",8.04,13.96,1.44,3.19,2.78,18.19,26.11,46.37,0,"5iDkCenF5yMkweYTzvnxc0"
"192","SIDO","Fuffies Im Club",7.07,15.85,1.37,3.37,6.52,28.19,12.26,31.04,1.48,"1A0b0yR0quuBByKQzASAvf"
"193","Chance The Rapper","Summer Friends",2.26,6.93,6.26,8.52,18.19,24.59,4.67,18.3,0,"2fl0B0OaXjWbjHCQFx2O8W"
"194","Twentyone Pilots","Lane Boy",18,13.17,2.45,1.07,11.79,26.62,33.17,7.38,3.52,"2P61EK6DMGyVyssLWS4fKy"
"195","BBou","Kanona",12.93,5.45,3.28,9.21,4.17,14.93,14.55,17.14,2.48,NA
"196","The Roots","You Got Me",21.93,10.31,26,21.34,21.9,8.72,11.14,9.21,15.21,"4pdLZsxq0y5oJDb6Cxlokw"
"197","Kanye West","Touch The Sky",16.43,9.75,17.32,10,17.14,46.86,22.43,7.04,0.79,"2dxjKgT0li4qBI3QwuN9Ih"
"198","Pharoahe Monch","Let's Go",7.21,12.93,3.57,0,14.11,26.43,20.46,14.54,0,"67c29TckQ1LtejsU6USqvG"
"199","Eminem","Mockingbird",25.11,9.54,34.32,14.39,12.46,13.18,9.71,17.54,38.64,"561jH07mF1jHuk7KlaeF0s"
"200","Eminem","Rap God",30.81,25.07,14.52,9.56,8.26,39.48,34.52,28.41,3.7,"6or1bKJiZ06IlK0vFvY75k"
"201","Freundeskreis","A-N-N-A",6.04,11.26,18.85,21.15,29.78,6.22,0,13.26,12.48,"6EWtkdeKmVtRjmydTfIR0S"
"202","Eminem","Lose Yourself",29.7,17,26,12.96,16.63,50.96,36.85,15.56,3.7,"7MJQ9Nfxzh8LPZ9e9u68Fq"
"203","Travis Scott","Antidote",12.23,11.42,7.84,4.1,11.16,43.58,23.74,19.23,1.16,"1wHZx0LgzFHyeIZkUydNXq"
"204","Kendrick Lamar","Cartoons & Cereal",13.45,17.61,5.16,0,4.68,31.48,17.16,34.81,4.52,NA
"205","Kanye West","Runaway",13.97,2.81,10.55,11.42,13.84,28.61,6.58,23.26,7.74,"3DK6m7It6Pw857FcQftMds"
"206","Jay-Z","99 Problems",8.75,8.11,5.77,1.3,14.09,43.52,38.34,18.32,0,"7IdFdRlCjUi6kkhbPoRfnw"
"207","50 Cent","In Da Club",15.37,7.16,15.12,5.51,16.7,56.44,25.81,12.16,0,"7iL6o9tox1zgHpKUfh9vuC"
"208","Akua Naru","Poetry: How Does It Feel",20.12,14.3,17.67,29.84,42.19,8.93,5.86,10.58,2.19,"0SQg86odv33piyPWPgNpBM"
"209","OutKast","B.O.B.",10.5,15.4,4.93,0.27,11.5,49.47,36.03,28.73,0.67,"3WibbMr6canxRJXhNtAvLU"
"210","Jedi Mind Tricks","Deathbed Doctrine",11.73,8.1,2.67,3.03,6.6,54.9,36.47,22.23,0,"1i74MnweHIH0Lt4upFKP9I"
"211","Bushido","Leben Und Tod Des Kenneth Glöckler",19.13,20.6,1.87,1.7,8.4,26.93,39.23,21.9,1.07,"3ai0DFuYn5KnHPUbRjAkga"
"212","Beastie Boys","Fight For Your Right",22.84,8.4,15.76,2.52,3.56,42.96,37.36,29.2,0,"5NLuC70kZQv8q34QyQa1DP"
"213","Action Bronson","Actin Crazy",10.44,9.32,2,1.76,21.24,25.08,19.44,26.6,1.44,"3clX2NMmjaAHmBjeTSa9vV"
"214","Immortal Technique","Leaving the past",18.52,22.64,16.48,3.48,12.76,20.28,11.12,20.24,16,"6msTUCqIfVOWe7pzWGzh6F"
"215","SSIO","Nullkommaneun",15.24,17.34,1.69,1.76,4.59,37.76,22.48,36.86,0,"3cLXgIlvugVKpWBmO5v9oy"
"216","Wu-Tang Clan","Da Mystery Of Chessboxin'",8.24,8.55,1.97,2.41,4.66,35.66,31.14,27.76,0,"4xOTVtbCPcfxMs2hSt9D6i"
"217","Post Malone","Congratulations",17.76,6.22,22.92,7.41,27.68,42.59,25.19,12.22,2.46,"3a1lNhkSLSkpJE4MSHpDu9"
"218","D-12","Fight Music",1.92,7.89,7.24,0,4.78,34.97,42.78,24.92,0,"3vBv2Tp0kHyBDUBZJr9GXQ"
"219","Jurassic 5","Work It Out",11.68,14.65,12.11,9.92,23.92,46.51,18.92,12.03,0,"4wAjMtIbWBP3g1iETZRrg3"
"220","Logic","Black Spiderman",13.97,13.54,7.91,7.91,11.71,35.37,20.71,18.49,2.43,"7BKUWh5sdtdS17crohRe4L"
"221","Jay Z","Hard Knock Life",20,14.09,19.54,19.11,18.69,35.86,15.11,11.86,3.8,"0PncoISAGbKR9HRx5LEbhC"
"222","The Notorious B.I.G.","Juicy",17.8,14.66,13.6,8.26,22.54,33.69,18.57,6.43,2.34,"2AP7m2dBb8ULTx4Gc1rdMc"
"223","N.E.R.D","Lemon",9.46,3.33,5,3.29,2.12,30.5,23.79,20.83,0,"2LKlHBPHxLG5ArAXfF148n"
"224","50 Cent","Candy Shop",12.75,3.33,20.25,25.08,7.21,54.62,35,5.25,0,"5D2mYZuzcgjpchVY1pmTPh"
"225","2Pac","Keep Ya Head Up",8.25,9.62,8.83,8.17,30.33,23,10.08,6,4.17,"4Tttv4p2xuAq1LpQ7LI95E"
"226","Prinz Pi","Gibt dem Affen Zucker",10.08,3.25,0,0,4.79,30.17,25.29,26.17,0,NA
"227","Geto Boys","Mind Playing Tricks On Me",12.57,8.04,2.04,0,7.83,18.39,11.61,33.22,1.09,"63BokRfXSQhEU6Qi2dSJpZ"
"228","NAS","If I Ruled The World (Imagine That)",12.61,19.48,6.96,2.3,15.96,27.83,23.35,14.17,0,"5PQmSHzWnlgG4EBuIqjac2"
"229","OutKast","Ms. Jackson",24,5.75,35.35,2.05,4.05,42.2,15.45,11.65,6.35,"0I3q5fE6wg7LIfHGngUTnV"
"230","Kendrick Lamar","i",7.58,6.95,0,1.84,3.58,29.26,15.79,22.68,0,"7wdzLe2Gsx1RGqbvYZHASz"
"231","Kanye West","Gold Digger",24.79,4.62,23.5,5.76,11.76,62.32,36.79,9.71,0,"1PS1QMdUqOal0ai3Gt7sDQ"
"232","Max Herre","1Ste Liebe",7.74,5.62,13.47,12.65,20.53,21.59,0.91,18.71,0,"20xi5ZLlmFLqXtsoNlcqYs"
"233","Future","Mask Off",18.29,5.32,10.09,5.68,5.44,31.56,26.12,19.97,2.62,"0VgkVdmE4gld66l8iyGjgx"
"234","Ice Cube","It Was A Good Day",5.32,3.32,13.56,4.29,16.03,21.5,10,19.97,0,"2GrOq1y5gksYrqkc8Jzl9T"
"235","eRRdeKa","EdoppelR",8.81,4.67,3.81,0,11.53,26.4,12.79,19.51,1.35,NA
"236","Yung Hurn","Bianco",15.3,6.47,6.56,5.09,19.3,19.14,4.37,23.93,2.98,"1vfVPUkl5v0HXWCEgQJHOf"
"237","Blackalicious","Alphabet Aerobics",24.82,16.52,1.61,0,10.36,37.58,28.39,27.48,0,"4z5L0qDduw3w1apQ4Qa6KV"
"238","SSIO","Sim-Karte",10.22,9.66,5.66,0,10.25,32.81,26.19,23.88,0,"4boJTTrr04CNomqZj9SJ4f"
"239","Drake","Too Much",16.75,15.66,22.78,15.69,22.47,20.06,18.59,12,6.16,"5LnXWeA9tuWKI2C1H74iiJ"
"240","A$AP Rocky","Fashion Killa",6.91,9.7,7.97,9.73,12.91,20.73,8.12,16.06,3.45,"0O3TAouZE4vL9dM5SyxgvH"
"241","Obie Trice","Got some Teeth",3.46,12.92,8.38,5.5,12.35,50.81,33.88,22.04,0,"7tszeVkfxO5ISkjZWpIG88"
"242","CunninLynguists","Love Ain't",15.23,21.73,19.23,5.38,7.69,34.65,34.65,19.31,6.04,"6qfna7A7WvUwyNoqVwbhnc"
"243","Jay-Z","Ni**as In Paris",16.62,11.5,15.92,3.73,3.85,60.38,51.46,28.19,0,"4Li2WHPkuyCdtmokzW2007"
"244","CunninLynguists","Valley of Death",18.65,23.39,19.96,0,4.65,27.87,20.52,15.3,2.04,"3rvuvqoC0zvoUkog7EKLMv"
"245","Eminem","Till I Collapse",19.73,26.67,7.83,1.67,0,42.93,55.17,16.67,0,"4xkOaSrkexMciUUogZKVTS"
"246","Kendrick Lamar","Rigamortus",9.67,5.5,3.4,2.93,9.5,34.47,24.53,30.8,1.37,"2lD6AoA8qf2t4Dkf2TcmNK"
"247","Chinese Man","I've Got That Tune",24.37,10.63,8.23,10.1,26.87,50.97,24.5,10.9,0,"6ZOeDXutLpSGqA1sSL6LrL"
"248","Kendrick Lamar","Alright",9.73,5.95,5.95,0,7.51,24.92,15.35,19,0,"3iVcZ5G6tvkXZkZKlMpIUs"
"249","Eminem","Shake That",8.76,3.64,11.4,0.6,10.28,37.72,15.12,10.84,0,"0fGh0trRN1xz3s41r7V5ce"
"250","Immortal Technique","Freedom Of Speech",8.08,6.2,6.12,0.68,8.76,23.44,15.64,23.68,1.76,"6fx3RqwMuR3k7M1bCpUFKJ"
"251","Sage Francis","Crack Pipes",9.32,17.64,12.96,1.84,6.6,8.44,16,24.48,12.36,"0BbYnQHDdUNO5e38PK3GOX"
"252","Blackstreet","No Diggity",30,6.76,19.6,7.96,23.2,33.88,14.08,3.6,0,"6MdqqkQ8sSC0WB4i8PyRuQ"
"253","NAS","N.Y. State of Mind",2.4,10.3,1.45,0,6.5,23.3,27.75,32.45,3.6,"0trHOzAhNpGCsGBEu7dOJo"
"254","Nicki Minaj","Moment 4 Life",14.75,23.85,3.2,0,4.8,44.05,44,15.45,0.85,"1ia019RqDK2o4QiANR1Dyn"
"255","Missy Elliott","Work It",12.91,8.91,5.3,2.3,0.43,39.22,20.48,19.65,0,"3jagJCUbdqhDSPuxP8cAqF"
"256","Marteria","Kids",5.48,15.13,4.04,0,12.48,35.61,7.78,18.7,5,"6lxTIMeCLEkj48TlCRG3XX"
"257","Wiz Khalifa","Young, Wild & Free",25.33,13.28,23.61,9.78,8.78,51.83,17.61,18.94,0,"5HQVUIKwCEXpe7JIHyY734"
"258","Why SL Know Plug","Rite Back",12.63,8.19,0.56,0,2.3,35.07,18.11,15.22,0.81,"5c2LdL9xlXX0CyPry5UDIR"
"259","Black Hippy","Control",4.85,9.19,1.48,0,2.59,24.11,20.74,34.44,1.63,"18lRXAROle06PhNpCqRoSV"
"260","Dr. Dre","Still D.R.E.",16,14.75,27.19,3,20.47,38,46.88,11.47,0,"503OTo2dSqe7qk76rgsbep"
"261","Haftbefehl","Lass Die Affen Aus'm Zoo",6.58,13.94,5.71,1.32,4,26.9,30.23,45.55,0.97,"6QNgcN2uHhXJG4RWDPyQQF"
"262","J. Cole","Wet Dreamz",31.48,13.77,21.84,20.55,30.77,34.74,23.58,11.13,2.1,"4tqcoej1zPvwePZCzuAjJd"
"263","Dr. Dre","Nuthin' But A G thang",20.97,6.45,15.81,7.13,20.48,42.9,22.77,13.74,1.61,"4YtoipFgf4k0AfD17ZfD5X"
"264","Soul Position","Priceless",11.93,5.89,2.07,5.85,18.26,35.78,7.52,10.52,0,"7I4ozG1g4D5H7FvKkMe27n"
"265","Die Orsons","Ventilator",9.26,5.59,2.33,0.56,5.19,24.67,5.56,21,0.74,"5j9djud18VQob3Ec3FUoy0"
"266","Method Man","Part II",16.85,3.52,2.22,1.52,16.44,35.26,19.3,14.78,0,"2n7h09QrGitVul66b2D8Re"
"267","Public Enemy","Harder Than You Think",23.59,9.45,6.66,0,8.72,47.28,38.83,20.21,2.59,"5YpZh8wfS4moRBk0ijNcXr"
"268","Mattafix","Big City Life",29.48,18.86,21.83,12.34,23.72,39.21,18.9,7.66,0,"4stm6lf1vQBSl7Eq4Npzr0"
"269","Tyler The Creator","Yonkers",9.72,7.21,0,5.17,5.72,17.21,32.45,34.55,4.41,"3WQlJpaUUbGtUqAskvGA7c"
"270","Green Day","Know Your Enemy",20.43,21,33.5,5.57,9.14,34.93,49.07,15.36,6.5,"5qtwzv99vOr5UTwnTixn7j"
"271","AedFX","Warning",11.37,15.03,0,2,12.33,35.4,21.8,50.23,3.37,"3mHgqUyhKCBo2PKh18sWeo"
"272","brillion","Aurora",19.93,14.14,38.24,38.93,61.28,8.93,0,4.97,1.52,"3dsMce7p7FYwsxvHZQuaRP"
"273","Claptu","sad octopus",17.28,11.6,34.28,26.49,57.53,4.63,1.19,2.23,3.26,"6IGd96b2eVkKVhwCW1NJ1e"
"274","Claptu","Aper",14.92,11.8,31.8,39.44,57.84,7.12,0,9.16,0.8,"4tC89UWVzU3PqdqdiQbAdo"
"275","DECAP","Panther",12.35,16.35,0.48,2,5,24.78,12.61,49.04,0,"1WmdcotlVastYfmwlvK7x2"
"276","Dexter","Everyday Like This",11.95,1.03,1.86,8.38,9.38,27,9.41,17.89,1.05,"1IjtbDa43lCjIbClrprdrP"
"277","Dj Shadow","Building Steam With A Grain of Salt",9.34,12.38,6.97,6.28,9.72,20,15.66,40.24,5.83,"4cucslsiEgezV2o900Ykg3"
"278","Figub Brazlevic","Silent Lava",1.57,5.78,1.35,2.57,28.22,14.39,0.7,25.35,0,NA
"279","Flo Filz","keep it real",18.7,6.98,10.93,5.12,29.51,30.63,17.19,18.12,0,NA
"280","Idealism","controlla",22.07,8.81,37.48,29.96,56.7,11.89,3.26,0,12.48,"7woCxOw0jmj65ohlQ3x0tH"
"281","Joey Pecoraro","Your Favorite Place",25.81,34.19,22.94,41.84,65.16,21.9,8.9,9.45,2.35,"2p6es5NEF5CBRrKC1lJHri"
"282","Lord Finesse","Midas Era",19.5,16.62,12.96,4.31,29.88,39.08,15.77,22.23,1.12,"6v0AYQ5YoF51yzGY0v0Dyg"
"283","monte booker","23",15.56,24.15,10.15,12.33,27.41,30.63,12,28.04,0,NA
"284","Philanthrope","pueblo",13,18.15,23.67,17.94,44.06,10.91,3.85,7.24,3.85,"3oYUtjjvbSxN40CQ71ZvTd"
"285","quickly quickly","swing theory",10.3,16.4,12.3,6.45,22.95,21.8,11.55,26.3,0,NA
"286","Suff Daddy","K C Vodka",0,5.57,1.48,3.33,13.29,18.67,10.71,25.48,3.43,"701ScIvdwIVub5swI6ObLG"
"287","The Deli","5:32pm",15.27,16.04,38.54,27.54,57.15,13.42,1.77,10.96,0,"7qrBYrivpvfXUPBMmqh3dA"
"288","Tom Doolie","Blue Book",15.64,12.56,34.47,28.44,48.58,9.31,0,8.14,3.71,"3E4LT4SvrEhGKIzyAeezEa"
"289","tomppabeats","one two step",30.4,6.77,9.35,17.54,27.46,47.42,14.19,5.95,0.18,NA
"290","No Spirit","Glowing Lights",6.43,15.32,19.16,20.65,52.92,3.16,4.59,5.54,5.78,"3KunPHIvhxrUaHny2Z1J9w"
"291","Rancid","Time Bomb",5.06,3.75,15.94,1.62,5.06,34.81,24.19,21.44,1.62,"41kg2RvdwBuIv0OPpvBS4v"
"292","Amy Winehouse","I Heard Love Is Blind",24.73,13.09,17.73,26.45,40.36,31.55,2.18,3.64,5.91,"3Li4nWTnkUu19vxkhNW9td"
"293","Madeleine Peyroux","To Love You All Over Again",22.33,21.25,31,25.58,41.75,10.08,7.17,0.75,23.17,"4EPwpBN0t11bIxjsAI8oaF"
"294","Sleep","Dopesmoker",6.23,4,1.69,1.69,6.54,6.38,25.23,45,8.15,"1vhvheW4R0KbK6Kr3NFplW"
"295","Paradise Lost","Faith Divides Us - Death Unites Us",13.84,17.26,9.79,3.89,6.74,13.16,37.32,46.58,17.89,"5gOjvocmJZQ05QBSE9xIkR"
"296","Fafá de Belém","Foi Assim",14.67,13.83,28.21,22.42,29.88,15.21,9.33,7.46,11.62,"55snJzt0NFIY0unGMjMuw9"
"297","Lucky Twice","Lucky",14.14,8.67,22.81,20.71,11.05,35.67,34.57,11.05,7,"4Td50xcLZQOrOHQeG0vULJ"
"298","t.A.T.u.","All the Things She Said",25.62,20.69,29.23,19.08,15.54,34.92,46.69,12,13.77,"4bJygwUKrRgq1stlNXcgMg"
"299","Daft Punk","Lose Yourself To Dance",12.43,19.43,15.76,4.48,15.76,36.67,23.52,9.57,7.95,"5CMjjywI0eZMixPeqNd75R"
"300","Cult of Luna","Thirtyfour",6.35,15.87,9.68,1.45,5.71,8.9,33.65,38.68,7.94,"59mzCn4G9KcuIWoksoe2aq"
"301","Fergie","Big Girls Don't Cry",14.79,18.89,30.37,22.11,22.58,32.53,23.74,3.74,15.89,"3Q4WeJmzxuDpzMu9QjQqbM"
"302","Thievery Corporation","The Richest Man in Babylon",10.93,11.73,11.87,11.67,28.07,31.2,29.87,8.27,7.07,"20F3FcES8KU4kffMCkFgNN"
"303","Kylie Minogue","Skirt",13.29,11.29,11,11.14,3.43,37.93,47.36,22.71,0.36,"4HS4veWZYPzHvEmVxrVEoy"
"304","Sia","The Church of What's Happening Now",40.23,34.85,38.77,37.23,48.85,15.77,12.46,10.54,40.85,"2NIq6qD7oM7SRT0C7kobr5"
"305","The Weather Girls","It's Raining Men",24.71,27.86,59.07,20.64,0.86,77.5,63.57,7.36,0.21,"4caiYv89C9GZdDD1RzshWd"
"306","blink-182","Online Songs",12.85,7.15,24.92,3.08,8,58.38,49.62,12,1.38,"2DcxTfOm8y2UgeP81qdidR"
"307","Darren Styles","Cutting Deep",10.36,26.43,5.29,0,5.36,42.21,36.29,27.93,1.71,"2GOGJIN0VMUFrHtyKvmkQn"
"308","Leo Sayer","More Than I Can Say",12.33,17.29,30.38,22.24,34.95,15.24,8.33,4.95,14.38,"3RJ81z1sPLeWEFuCfGaCLC"
"309","Air Supply","The One That You Love",22.06,17,30.56,42.06,18.19,21.81,15.69,7.31,23.38,"3FDAd5vW4P7xe1GBNOLyfD"
"310","Mr. Mister","Broken Wings",34.41,24.94,49.59,20.59,26.76,20.71,24.35,3.88,9.82,"78FHUZRbFDCG6VkRAQdFLm"
"311","Hooverphonic","One",19.69,17.62,30.06,34.31,33.75,12.12,6.5,6.62,12.62,"6g7ervcGNeDlHFQFXkcSzS"
"312","Paul McCartney","The Lovely Linda",21.59,12.47,45.59,30.41,54.59,24.71,5.65,6.94,15,"0Ca2mDERpTFmnttcSt9UcR"
"313","Owl City","Lucid Dream",28.33,24.33,27,17.56,45.11,28.89,15.44,2.22,4.78,"4icP6VWlKBLIHzl0bBD4xw"
"314","Stevie Wonder","I Just Called to Say I Love You",28.91,12.64,47.36,54.73,54.91,48.09,11.82,1.27,13.64,"6RNDeRnWsRMjPdNVgupZCs"
"315","Massive Attack","Mezzanine",13.07,28.86,18.14,6.36,17.07,13.64,22,41.14,17.21,"67Hna13dNDkZvBpTXRIaOJ"
"316","Solitude Aeturnus","Seeds of the Desolate",2.06,11.12,8.65,1.12,0.29,7.29,19.41,61.06,6.12,"7emF3lKU8NmkrlmDXUTYER"
"317","Chunk! No, Captain Chunk!","So Close and Yet So Far",13.64,5.71,27.79,7.79,10.07,51.71,49.86,19.21,9.5,"4nYV0FQkrOXzruL4xFlKmL"
"318","Sam Smith","Stay with Me",12.27,14.64,27.91,44.18,34.91,20.09,12.73,3.36,46.64,"5Nm9ERjJZ5oyfXZTECKmRt"
"319","The Platters","My Prayer",36.56,23.75,50.56,49.88,36,18.19,15.25,5.56,17.38,"1ntGJDSakqsaw1KhptKrB5"
"320","Skrillex","First of the Year (Equinox)",2.5,11.58,12.17,0.67,1,8.58,19.92,44.67,5,"5i7fZq3chLyCHo3VeB6goD"
"321","Sarah McLachlan","Elsewhere",22.35,12.47,31.12,33.41,37.12,7,4.59,6.47,39.47,"1hBi66N1p1QyvFTHjnH2jv"
"322","Lakeside","Fantastic Voyage",17.89,12,19.47,3.26,12.84,35.74,30.68,10.26,1.26,"0rc9Uwm4vmnQEfx5omLWWF"
"323","My Dying Bride","For My Fallen Angel",45.38,25.67,26.14,33.67,44.86,5.52,17.52,8.71,46.76,"5oVSFQUi1hBYYRiNeOwfWy"
"324","St. Vincent","I Prefer Your Love",22.29,19.18,23.47,11.94,41.71,5.82,7.65,6.65,16.35,"0Snb87Z4Zdn6YFMicWA7gx"
"325","Wild Cherry","Play That Funky Music",22.15,27.54,33.46,14.23,23.69,58.46,36,3.08,2.92,"5uuJruktM9fMdN9Va0DUMl"
"326","Sandy","Aquela dos 30",16.52,8.64,9.72,11.96,8.28,45.84,20.08,7.76,1.48,"13P1ZQvK9lejmHM6h8Pnbk"
"327","Modern Talking","You're My Heart, You're My Soul",7.59,5.59,15.47,8.53,14.82,24.71,15.71,12.94,5.12,"0Zn63G0XTiqXwr1KSmARWz"
"328","Karma Fields","Build The Cities (feat. Kerli)",6.3,13.5,1.6,0.4,5.7,28.9,40.4,28.7,0.3,"50fO3coGeBVITFxiYlHSDs"
"329","Bartholdy","Sommernachtstraum",19.62,28.62,17.15,5.15,19.85,29,18.62,1.54,1.38,NA
"330","Händel","Lascia ch'io pianga",15.42,27.42,14.42,24.5,63.33,22.42,11.75,3.5,15.17,NA
"331","Mozart","Overture - Marriage Of Figaro",45.2,37.07,24.63,11.63,39.97,59.43,47.53,10.3,1.23,NA
"332","Alfvén","Midsommarvaka",35.67,34.58,8.67,35.42,40.33,28.83,17.58,4.33,0,"6bnYnAVPzpWLqG4mqC9gc3"
"333","Bartok","Piano Sonata BB 88 (Sz. 80)",35.17,23.42,14.83,14.83,12.75,29.75,18,21.33,0,NA
"334","Rossini","Wilhelm Tell (Ouvertüre)",31.64,24.82,15.18,16.64,7.55,62.36,53.73,3.73,9.27,NA
"335","Borodin","Fürst Igor (Chorus)",21.64,34,21.27,16.73,36.09,28.55,8.82,0,7.45,NA
"336","Tschaikowski","Gremin's Aria (Onegin)",26.83,21,13.08,15.25,33.92,13,13.42,14,5,NA
"337","Bruch","Kol Nidrei, Adagio for Cello and Orchestra, op. 47",7.18,21.09,20.64,16.55,26.64,16.91,6.27,5,6.82,NA
"338","Chopin","Concerto for Piano n°1 in e Minor. Second movement. Larghetto",17.92,24.58,36.58,38.17,70.75,16.17,6.75,0,8.5,NA
"339","Wagner","Tristan & Isolde, Liebestod",23.59,14.3,8,4.33,3.04,22.81,17.41,33.3,2.04,NA
"340","Tschaikowski","Walzer (Onegin)",26,11.18,9.09,12.52,27.03,57.39,34.24,10.82,0,NA
"341","Dvo,"9. Sinfonie (II. Largo)",33.7,32.36,60.58,46.09,50.39,10.82,6.48,5.85,27.55,NA
"342","Mozart","Requiem",33.82,39.76,28.09,18.13,17.84,19.57,27.47,21.15,11.1,NA
"343","Delibes","Coppelia. Ballet in 3 Acts. First act, prélude",31.47,30.44,9.21,6.26,31.15,57.82,40.35,8.85,1.12,NA
"344","Holst","The Planets, op. 32. Mars",34.74,32.09,9.56,5.24,6.94,28,24.91,49.74,0.44,NA
"345","Mozart","Die Zauberflöte",21.78,27,15.63,18.67,26.22,26.85,6.89,11.59,0,NA
"346","Fauré","Romance sans Paroles",20.71,25.68,34.39,45.11,57.82,13.57,2.46,1.86,6.29,NA
"347","Liszt","Bénédiction de Dieu Dans la Solitude",23.93,29.93,45.64,39.14,65.21,10.68,5.32,7.5,0,NA
"348","Mendelssohn","Song Without Words, op. 19, No 1",29.3,24,33.19,47.7,55.41,17.85,4.04,1.22,4.3,NA
"349","Mozart","Eine kleine Nachtmusik: First movement",35.18,33.32,16.61,15.79,40.79,59.71,25.54,6.39,0,NA
"350","Humperdinck","Hänsel und Gretel (Ouvertüre)",34,20.11,38.46,43.07,51.82,20.11,7.93,7.5,1.93,NA
"351","Milhaud","Scaramouche: Brazileira",35.18,26.89,16.07,16.36,23.96,48.68,31.86,16.18,0,NA
"352","Saint-Saens","Carnival of Animals: Finale",37.07,26.64,20.93,8.75,18.46,49.5,34.43,14.5,0,NA
"353","Chopin","Impromptu No. 2",29.43,24.07,38.27,38.87,66.27,23.5,7.17,3.03,8.27,NA
"354","Beethoven","Mondscheinsonate",37.4,33.17,39.4,21.47,44.4,18.07,7.13,10.8,28.17,NA
"355","Beethoven","9. Symphonie, 2. Satz (Toscanini)",12.52,22.65,15.48,1.9,14.06,45.39,37.35,25.74,0,NA
"356","Debussy","Clair de lune",25.55,24.06,41.45,31.94,40.45,5.9,5.81,7.26,9.68,NA
"357","Beethoven","Symphony No.5 in C minor Op.67",23.71,30.39,18.23,8.16,10.52,41.48,54.61,40.61,2.29,NA
"358","Tschaikowski","Schwanensee",32.85,35.23,28.04,29.23,14.08,31.35,26.69,9.96,12.5,NA
"359","Debussy","Prélude à l'après-midi d'un faune",32.15,22.92,37.12,19.35,33.73,18.81,4.23,8.77,10.04,NA
"360","Ligeti","Etüde Arc en Ciel",20.85,25.58,24.88,14.38,25.77,6.27,1.19,32.15,9.04,NA
"361","Händel","Sinfonie in B-Dur (HWV 339)",24.1,13.41,4.76,10.79,10.62,45.14,31.59,14.69,0,NA
"362","Mahler","6. Symphony, Andante, (Karajan)",23.83,19.41,20.66,23.14,30.83,10.52,11.55,5.28,7.66,NA
"363","Messiaen","Quatuor pour la fin du Temps",17.5,24.21,14.07,11.29,9,7.57,1.71,32.5,28.61,NA
"364","Mozart","Overtüre - Die Entführung aus dem Serail",28.57,26.82,15.32,9.07,15.86,45.64,42.25,7.54,0.71,NA
"365","Beethoven","Sinfonie Nr. 6",32.54,22.21,12.93,22.89,27.14,27.18,13.46,2.46,3.57,NA
"366","Mozart","Laudate Dominum",24.86,35.82,4.07,5.71,13.14,21.5,26.93,29.11,3.46,NA
"367","Chopin","Etüde Op. 25 No. 1",27.59,30.52,28.56,36.56,36.81,19.78,10.7,1.11,5,NA
"368","Albinoni","Concerto a cinque No. 2, Op. 9",27.3,23.59,28.37,24.52,34.15,30.78,22.59,6.96,3.59,"0Ouz5wpLFbtXjAdxLRydQq"
"369","Brahms","Klaviersonate Nr. 3 (Zwei Klaviere)",18.33,23.04,12.07,17.15,18.85,20.67,33.81,21.67,8.89,NA
"370","Händel","Der Messias (Hallelujah)",17.03,18.9,12.68,13.35,19.68,13.29,29.94,16.03,5.94,NA
"371","Palestrina","Missa Brevis (Kyrie)",22.84,37.9,25.19,20.32,41.94,4.19,10.9,11.42,9.84,NA
"372","Brahms","Klavierquartett Nr. 3 in C-Moll, 3. Satz",26.13,11.97,37.03,32.35,40.61,2.68,0,18,16.94,NA
